City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Souillac,MU,-20.5167,57.5167,74.39,71,33,10.4,scattered clouds
80,Brae,GB,60.3964,-1.353,51.04,80,99,13.38,overcast clouds
81,Padang,ID,-0.9492,100.3543,79.66,82,22,3.62,few clouds
82,Longyearbyen,SJ,78.2186,15.6401,30.04,59,40,2.3,scattered clouds
83,Quatre Cocos,MU,-20.2078,57.7625,73.09,71,66,12.64,broken clouds
84,Fairbanks,US,64.8378,-147.7164,36.3,93,75,0.0,mist
85,Katsuura,JP,35.1333,140.3,66.45,90,67,10.63,broken clouds
86,Saint-Georges,GD,12.0564,-61.7485,85.68,66,20,27.63,few clouds
87,Eufaula,US,31.8913,-85.1455,80.33,58,47,3.56,scattered clouds
88,Fortuna,US,40.5982,-124.1573,64.92,90,72,1.99,broken clouds
89,Tuktoyaktuk,CA,69.4541,-133.0374,26.94,79,49,10.13,scattered clouds
90,Oil City,US,41.4339,-79.7064,78.8,60,0,1.01,clear sky
91,Santa Cruz,BO,-17.8,-63.1667,80.06,57,75,6.91,broken clouds
92,Cidreira,BR,-30.1811,-50.2056,68.05,77,89,15.3,heavy intensity rain
93,Khandyga,RU,62.6667,135.6,33.89,97,91,4.05,overcast clouds
94,Arlit,NE,18.7369,7.3853,105.31,6,1,4.65,clear sky
95,Lata,PT,40.1629,-8.3327,69.82,31,83,12.71,broken clouds
96,Naze,JP,28.3667,129.4833,65.25,88,100,7.7,light rain
97,Tucupita,VE,9.0622,-62.051,89.73,47,61,6.51,broken clouds
98,Coahuayana,MX,18.7333,-103.6833,89.47,40,100,4.12,overcast clouds
99,Tilichiki,RU,60.4667,166.1,33.15,99,100,0.74,overcast clouds
100,Sitka,US,57.0531,-135.33,46.29,71,40,5.75,scattered clouds
101,Ballina,AU,-28.8667,153.5667,69.78,95,99,8.61,light rain
102,Kerouane,GN,9.2667,-9.0167,92.1,41,85,3.33,overcast clouds
103,Richards Bay,ZA,-28.783,32.0377,69.48,88,100,5.21,light rain
104,Carnarvon,AU,-24.8667,113.6333,66.7,46,0,16.26,clear sky
105,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,61,20,6.91,few clouds
106,Mahebourg,MU,-20.4081,57.7,73.26,70,42,11.81,scattered clouds
107,Kavieng,PG,-2.5744,150.7967,81.79,73,45,10.92,scattered clouds
108,Port Elizabeth,ZA,-33.918,25.5701,62.31,80,46,5.01,scattered clouds
109,Bluff,NZ,-46.6,168.3333,43.81,74,100,4.94,overcast clouds
110,Narang,PK,31.9132,74.5176,98.56,5,0,4.5,clear sky
111,Ajaccio,FR,42.0,8.9167,66.25,64,0,10.36,clear sky
112,Saldanha,ZA,-33.0117,17.9442,59.99,79,0,12.44,clear sky
113,Ban Nahin,LA,18.2418,104.2122,78.42,88,100,2.1,light rain
114,Xichang,CN,27.8964,102.2634,55.78,88,100,4.81,light rain
115,Sao Filipe,CV,14.8961,-24.4956,78.04,64,57,3.71,broken clouds
116,Olafsvik,IS,64.8945,-23.7142,41.14,68,40,10.85,scattered clouds
117,Puri,IN,19.8,85.85,84.72,88,92,21.94,overcast clouds
118,Kingsville,US,27.5159,-97.8561,88.21,59,40,11.5,scattered clouds
119,Mar Del Plata,AR,-38.0023,-57.5575,60.94,45,0,9.22,clear sky
120,Chokurdakh,RU,70.6333,147.9167,8.2,96,99,4.36,overcast clouds
121,Tiksi,RU,71.6872,128.8694,5.36,99,17,5.82,few clouds
122,Cape Town,ZA,-33.9258,18.4232,64.35,71,0,8.01,clear sky
123,Komsomolskiy,UZ,40.4272,71.7189,61.52,82,75,4.61,broken clouds
124,Vao,NC,-22.6667,167.4833,73.31,74,99,18.37,overcast clouds
125,Samarai,PG,-10.6167,150.6667,81.14,79,25,9.64,scattered clouds
126,Mataura,NZ,-46.1927,168.8643,43.48,92,100,1.21,overcast clouds
127,Kristiinankaupunki,FI,62.2743,21.376,46.9,71,80,7.36,broken clouds
128,Tandil,AR,-37.3217,-59.1332,56.68,30,91,9.01,overcast clouds
129,Avera,US,33.194,-82.5271,73.45,54,7,1.5,clear sky
130,Yulara,AU,-25.2406,130.9889,64.92,58,100,6.89,overcast clouds
131,Huddersfield,GB,53.649,-1.7842,73.62,44,72,4.59,broken clouds
132,Zeya,RU,53.75,127.2667,39.7,55,3,12.12,clear sky
133,Narsaq,GL,60.9167,-46.05,39.42,75,98,6.11,overcast clouds
134,Merauke,ID,-8.4667,140.3333,79.81,75,100,7.54,overcast clouds
135,Lagoa,PT,39.05,-27.9833,60.49,89,100,31.76,light rain
136,Tahta,EG,26.7693,31.5021,97.09,16,19,17.31,few clouds
137,Mayo,US,38.8876,-76.5119,69.75,95,100,3.44,mist
138,Gojo,JP,34.35,135.7,59.67,73,79,2.35,broken clouds
139,Xuddur,SO,4.1213,43.8894,81.37,58,100,8.43,light rain
140,Talnakh,RU,69.4865,88.3972,35.26,99,100,5.86,overcast clouds
141,Bubaque,GW,11.2833,-15.8333,78.62,80,34,14.83,scattered clouds
142,Bani,DO,18.2833,-70.3333,80.85,69,100,13.65,overcast clouds
143,Kvarkeno,RU,52.0833,59.725,54.27,66,59,8.84,broken clouds
144,Aix-En-Provence,FR,43.5283,5.4497,79.36,55,58,1.99,broken clouds
145,Pitimbu,BR,-7.4706,-34.8086,84.79,77,75,10.29,broken clouds
146,Lahij,YE,13.1667,44.5833,88.52,23,10,5.28,clear sky
147,Salalah,OM,17.0151,54.0924,86.09,74,4,9.22,clear sky
148,Barrhead,GB,55.7992,-4.3929,64.76,67,20,11.5,few clouds
149,Mount Gambier,AU,-37.8333,140.7667,55.31,94,40,8.05,scattered clouds
150,Boa Vista,BR,2.8197,-60.6733,89.58,55,75,12.66,broken clouds
151,Yellowknife,CA,62.456,-114.3525,50.56,66,35,11.01,scattered clouds
152,Saskylakh,RU,71.9167,114.0833,19.58,91,99,8.43,overcast clouds
153,Aldan,RU,58.6031,125.3894,17.08,95,98,2.1,overcast clouds
154,Kuching,MY,1.55,110.3333,82.62,89,20,2.3,few clouds
155,Turukhansk,RU,65.8167,87.9833,47.71,82,42,6.22,scattered clouds
156,Bandarbeyla,SO,9.4942,50.8122,83.21,81,2,20.98,clear sky
157,Ribeira Grande,PT,38.5167,-28.7,64.8,82,40,20.71,scattered clouds
158,Kishi,NG,9.0833,3.85,94.51,38,100,4.25,overcast clouds
159,Maragogi,BR,-9.0122,-35.2225,83.64,68,100,11.41,overcast clouds
160,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.78,100,100,7.02,overcast clouds
161,Lebu,CL,-37.6167,-73.65,53.89,66,98,18.01,overcast clouds
162,Hambantota,LK,6.1241,81.1185,78.46,90,100,24.96,overcast clouds
163,College,US,64.8569,-147.8028,36.28,92,75,1.01,mist
164,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,75,6.91,broken clouds
165,Rocha,UY,-34.4833,-54.3333,66.15,58,5,5.06,clear sky
166,Tuatapere,NZ,-46.1333,167.6833,46.18,92,100,4.12,overcast clouds
167,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,76,54,17.83,light rain
168,Udachnyy,RU,66.4167,112.4,37.45,80,100,3.11,overcast clouds
