City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sisimiut,GL,2022-05-12 01:08:37,66.9395,-53.6735,25.95,61,0,11.41
68,Cape Town,ZA,2022-05-12 01:08:37,-33.9258,18.4232,55.11,90,0,1.01
69,Bredasdorp,ZA,2022-05-12 01:08:38,-34.5322,20.0403,52.2,87,0,4.85
70,Saskylakh,RU,2022-05-12 01:08:38,71.9167,114.0833,25.65,87,33,14.23
71,Georgetown,MY,2022-05-12 01:08:39,5.4112,100.3354,84.13,84,20,3.44
72,Butaritari,KI,2022-05-12 01:08:40,3.0707,172.7902,80.94,77,96,7.43
73,Asyut,EG,2022-05-12 01:08:40,27.181,31.1837,74.25,26,2,8.52
74,Piranshahr,IR,2022-05-12 01:07:20,36.701,45.1413,46.08,53,6,4.16
75,Vieques,PR,2022-05-12 01:08:41,18.425,-65.8329,82.44,83,75,6.91
76,Ancud,CL,2022-05-12 01:08:41,-41.8697,-73.8203,49.95,85,100,12.37
77,Aklavik,CA,2022-05-12 01:08:42,68.2191,-135.0107,43.88,57,23,4.0
78,Torbay,CA,2022-05-12 01:08:43,47.6666,-52.7314,46.38,89,100,27.63
79,Verrettes,HT,2022-05-12 01:08:43,19.05,-72.4667,77.65,80,100,3.22
80,Sitka,US,2022-05-12 01:08:44,57.0531,-135.33,53.49,47,20,12.66
81,Shelton,US,2022-05-12 01:08:24,41.3165,-73.0932,69.04,74,75,4.61
82,Egvekinot,RU,2022-05-12 01:05:19,66.3167,-179.1667,29.68,100,100,9.17
83,Kruisfontein,ZA,2022-05-12 01:08:45,-34.0033,24.7314,51.44,88,0,4.32
84,Chokurdakh,RU,2022-05-12 01:05:29,70.6333,147.9167,25.68,93,100,15.1
85,Lagoa,PT,2022-05-12 01:08:46,39.05,-27.9833,58.01,72,52,11.79
86,Utete,TZ,2022-05-12 01:08:47,-7.986,38.758,68.63,96,49,2.64
87,Puerto Ayora,EC,2022-05-12 01:08:47,-0.7393,-90.3518,72.55,95,9,3.0
88,Petropavlovsk-Kamchatskiy,RU,2022-05-12 01:08:48,53.0452,158.6483,50.59,54,75,15.66
89,Gasa,PS,2022-05-12 01:05:45,31.5,34.4667,58.87,77,2,6.58
90,Airai,TL,2022-05-12 01:08:49,-8.9266,125.4092,72.07,62,70,1.81
91,Grass Valley,US,2022-05-12 01:08:49,39.2191,-121.0611,64.87,41,40,8.05
92,Bengkulu,ID,2022-05-12 01:08:50,-3.8004,102.2655,79.65,84,84,11.81
93,Codrington,AU,2022-05-12 01:08:50,-38.2667,141.9667,63.36,75,38,5.99
94,Pangody,RU,2022-05-12 01:08:52,65.85,74.4859,35.17,100,100,5.1
95,Port Lincoln,AU,2022-05-12 01:08:53,-34.7333,135.8667,62.67,70,6,3.04
96,Los Llanos De Aridane,ES,2022-05-12 01:08:53,28.6585,-17.9182,64.15,84,20,5.01
97,Vanavara,RU,2022-05-12 01:08:54,60.34,102.2797,50.88,63,28,7.76
98,Denpasar,ID,2022-05-12 01:08:54,-8.65,115.2167,82.06,94,20,5.75
99,Iqaluit,CA,2022-05-12 01:08:55,63.7506,-68.5145,19.92,86,100,11.88
100,Kendari,ID,2022-05-12 01:08:56,-3.945,122.4989,83.25,78,97,0.47
101,Kirakira,SB,2022-05-12 01:08:56,-10.4544,161.9205,84.96,71,98,1.54
102,Tianpeng,CN,2022-05-12 01:05:14,30.9866,103.9393,69.46,80,100,7.87
103,Sabang,ID,2022-05-12 01:08:57,5.8933,95.3214,83.62,75,98,21.14
104,Cabo San Lucas,MX,2022-05-12 01:06:37,22.8909,-109.9124,89.91,35,0,3.44
105,Tigil,RU,2022-05-12 01:08:58,57.8,158.6667,53.42,49,88,6.85
106,Ekpoma,NG,2022-05-12 01:08:15,6.7421,6.139,71.92,97,100,3.58
107,Kashi,CN,2022-05-12 01:08:58,39.4547,75.9797,69.98,33,11,7.25
108,Goderich,CA,2022-05-12 01:08:59,43.7501,-81.7165,57.33,71,16,2.86
109,Seoul,KR,2022-05-12 01:05:19,37.5683,126.9778,69.19,43,100,4.16
110,Menongue,AO,2022-05-12 01:09:00,-14.6585,17.691,53.94,54,0,2.95
111,Churapcha,RU,2022-05-12 01:09:00,62.0025,132.4325,42.69,53,12,1.36
112,Mahebourg,MU,2022-05-12 01:09:01,-20.4081,57.7,73.69,88,75,3.44
113,Bambanglipuro,ID,2022-05-12 01:09:01,-7.95,110.2833,81.05,85,100,2.93
114,Esperance,AU,2022-05-12 01:09:02,-33.8667,121.9,60.28,82,100,5.97
115,Salinopolis,BR,2022-05-12 01:06:46,-0.6136,-47.3561,77.67,89,38,7.47
116,Srednekolymsk,RU,2022-05-12 01:09:02,67.45,153.6833,29.68,86,98,13.42
117,Sobolevo,RU,2022-05-12 01:07:04,54.4299,31.8996,51.21,90,100,7.67
118,Vaitape,PF,2022-05-12 01:09:03,-16.5167,-151.75,81.59,76,31,16.46
119,Yulara,AU,2022-05-12 01:09:04,-25.2406,130.9889,64.24,48,100,10.36
120,Gillette,US,2022-05-12 01:09:05,44.2911,-105.5022,53.87,79,100,14.97
121,Manggar,ID,2022-05-12 01:09:05,-2.8833,108.2667,82.83,77,99,4.63
122,Post Falls,US,2022-05-12 01:08:42,47.718,-116.9516,61.32,32,0,10.36
123,New Norfolk,AU,2022-05-12 01:09:06,-42.7826,147.0587,56.91,66,100,1.57
124,Hilo,US,2022-05-12 01:09:07,19.7297,-155.09,83.28,75,75,13.8
